TARIH       SEMBOL  GUN.F%  SON  
05.03.2026  FADE    1,14    14,15
05.03.2026  FENER   4,14    3,02 
05.03.2026  FLAP    1,09    10,16
05.03.2026  FMIZP   3,83    298,00
05.03.2026  FONET   9,93    4,65 
05.03.2026  FORMT   6,09    2,96 
05.03.2026  FORTE   2,04    92,60
05.03.2026  FRIGO   3,62    9,16 
05.03.2026  FRMPL   0,00    nan  
05.03.2026  FROTO   3,34    111,40
05.03.2026  FZLGY   2,09    13,17
05.03.2026  GARAN   1,15    140,20
05.03.2026  GARFA   2,00    26,46
05.03.2026  GATEG   -1,86   317,00
05.03.2026  GEDIK   1,11    5,48 
05.03.2026  GEDZA   2,15    29,46
05.03.2026  GENIL   0,96    8,42 
05.03.2026  GENTS   5,37    9,81 
05.03.2026  GEREL   -0,85   25,60
05.03.2026  GESAN   4,61    45,84
05.03.2026  GIPTA   1,30    54,50
05.03.2026  GLBMD   1,41    11,53
05.03.2026  GLCVY   4,23    69,00
05.03.2026  GLRMK   1,39    153,70
05.03.2026  GLRYH   3,49    4,45 
05.03.2026  GLYHO   1,02    14,86
05.03.2026  GMTAS   0,00    25,98
05.03.2026  GOKNR   3,23    21,74
05.03.2026  GOLTS   0,07    338,25
05.03.2026  GOODY   1,99    14,32
05.03.2026  GOZDE   0,91    22,16
05.03.2026  GRNYO   4,61    15,90
05.03.2026  GRSEL   2,85    360,75
05.03.2026  GRTHO   4,55    243,40
05.03.2026  GSDDE   2,94    9,82 
05.03.2026  GSDHO   2,20    4,65 
05.03.2026  GSRAY   0,88    1,14 
05.03.2026  GUBRF   0,75    501,50
05.03.2026  GUNDG   4,60    659,00
05.03.2026  GWIND   1,90    24,66
05.03.2026  GZNMI   9,93    61,45
05.03.2026  HALKB   0,85    42,80
05.03.2026  HATEK   1,71    14,85
05.03.2026  HATSN   3,04    37,92
05.03.2026  HDFGS   0,93    3,25 
05.03.2026  HEDEF   5,18    113,70
05.03.2026  HEKTS   1,03    2,94 
05.03.2026  HKTM    2,20    11,16
05.03.2026  HLGYO   2,55    4,83 
05.03.2026  HOROZ   3,36    61,50
05.03.2026  HRKET   0,65    70,20
05.03.2026  HTTBT   -3,06   39,94
05.03.2026  HUBVC   0,00    4,80 
05.03.2026  HUNER   1,28    3,16 
05.03.2026  HURGZ   3,43    5,43 
05.03.2026  ICBCT   2,12    13,48
05.03.2026  ICUGS   2,84    2,90 
05.03.2026  IDGYO   0,26    3,79 
05.03.2026  IEYHO   0,60    84,50
05.03.2026  IHAAS   4,89    83,65
05.03.2026  IHEVA   2,30    2,22 
05.03.2026  IHGZT   1,41    1,44 
05.03.2026  IHLAS   1,52    2,01 
05.03.2026  IHLGM   0,53    1,91 
05.03.2026  IHYAY   2,37    1,73 
05.03.2026  IMASM   1,32    3,85 
05.03.2026  INDES   1,85    7,72 
05.03.2026  INFO    3,34    4,02 
