# Son Güncelleme: 24.04.2026 22:06:31
TARIH       SEMBOL  GUN.F%  SON  
17.04.2026  PRZMA   6,12    17,70
17.04.2026  PSDTC   2,03    135,90
17.04.2026  PSGYO   0,00    nan  
17.04.2026  QNBFK   -0,27   43,70
17.04.2026  QNBTR   -0,28   263,25
17.04.2026  QUAGR   0,00    4,10 
17.04.2026  RALYH   3,06    319,75
17.04.2026  RAYSG   7,31    217,20
17.04.2026  REEDR   9,95    8,40 
17.04.2026  RGYAS   0,49    185,50
17.04.2026  RNPOL   1,99    3,07 
17.04.2026  RODRG   1,09    20,40
17.04.2026  RTALB   3,05    3,72 
17.04.2026  RUBNS   1,53    31,90
17.04.2026  RUZYE   2,06    12,36
17.04.2026  RYGYO   4,26    33,80
17.04.2026  RYSAS   0,73    22,22
17.04.2026  SAFKR   -1,28   26,30
17.04.2026  SAHOL   5,63    105,10
17.04.2026  SAMAT   2,80    5,50 
17.04.2026  SANEL   -1,93   35,60
17.04.2026  SANFM   -2,18   8,51 
17.04.2026  SANKO   1,42    22,82
17.04.2026  SARKY   7,14    30,32
17.04.2026  SASA    2,61    3,14 
17.04.2026  SAYAS   1,33    44,18
17.04.2026  SDTTR   -1,33   229,30
17.04.2026  SEGMN   1,87    62,80
17.04.2026  SEGYO   1,63    5,00 
17.04.2026  SEKFK   0,09    11,05
17.04.2026  SEKUR   -0,64   7,75 
17.04.2026  SELEC   1,63    90,40
17.04.2026  SELVA   4,52    2,31 
17.04.2026  SERNT   2,70    9,12 
17.04.2026  SEYKM   1,80    4,53 
17.04.2026  SILVR   3,17    2,60 
17.04.2026  SISE    3,07    48,34
17.04.2026  SKBNK   2,33    13,20
17.04.2026  SKTAS   5,96    3,38 
17.04.2026  SKYLP   9,93    329,25
17.04.2026  SKYMD   2,04    13,49
17.04.2026  SMART   -3,71   34,78
17.04.2026  SMRTG   0,67    7,46 
17.04.2026  SMRVA   -1,46   97,60
17.04.2026  SNGYO   4,68    3,80 
17.04.2026  SNICA   2,96    4,17 
06.02.2026  SNKRN   -2,69   343,50
17.04.2026  SNPAM   1,21    21,74
17.04.2026  SODSN   9,54    10,79
17.04.2026  SOKE    0,84    18,05
17.04.2026  SOKM    3,63    52,75
17.04.2026  SONME   -1,81   146,30
17.04.2026  SRVGY   3,76    3,31 
17.04.2026  SUMAS   1,73    265,00
17.04.2026  SUNTK   0,84    38,52
17.04.2026  SURGY   0,86    70,00
17.04.2026  SUWEN   3,76    9,93 
17.04.2026  TABGD   3,31    265,50
17.04.2026  TARKM   4,74    425,25
17.04.2026  TATEN   5,96    14,41
17.04.2026  TATGD   0,84    16,79
17.04.2026  TAVHL   2,65    320,00
17.04.2026  TBORG   2,77    148,50
17.04.2026  TCELL   2,73    120,50
17.04.2026  TCKRC   0,88    97,70
17.04.2026  TDGYO   1,21    16,70
17.04.2026  TEHOL   5,96    23,84
17.04.2026  TEKTU   1,57    12,27
17.04.2026  TERA    5,60    396,00
17.04.2026  TEZOL   0,93    18,45
17.04.2026  TGSAS   0,42    165,80
17.04.2026  THYAO   3,70    329,00
17.04.2026  TKFEN   2,46    120,80
17.04.2026  TKNSA   5,03    24,20
17.04.2026  TLMAN   2,07    98,70
17.04.2026  TMPOL   0,29    684,00
17.04.2026  TMSN    2,98    107,00
17.04.2026  TNZTP   0,58    24,40
17.04.2026  TOASO   2,17    294,50
17.04.2026  TRALT   7,39    49,40
17.04.2026  TRCAS   2,14    46,76
17.04.2026  TRENJ   3,00    99,55
17.04.2026  TRGYO   0,00    nan  
17.04.2026  TRHOL   2,00    1.175,00
17.04.2026  TRILC   2,67    18,05
17.04.2026  TRMET   3,68    141,00
17.04.2026  TSGYO   3,71    6,99 
17.04.2026  TSKB    3,86    12,66
17.04.2026  TSPOR   3,03    1,02 
17.04.2026  TTKOM   4,06    65,40
17.04.2026  TTRAK   2,39    492,25
17.04.2026  TUCLK   5,21    4,44 
17.04.2026  TUKAS   2,79    2,58 
17.04.2026  TUPRS   -5,60   253,00
17.04.2026  TUREX   3,42    9,08 
17.04.2026  TURGG   0,31    32,26
