SEMBOL  3.DİRENÇ  2.DİRENÇ  1.DİRENÇ  PİVOT     1.DESTEK  2.DESTEK  3.DESTEK  SON       
DGGYO   38,36     37,48     36,30     35,42     34,24     33,36     32,18     38,62     
DGNMO   9,48      9,27      9,08      8,87      8,68      8,47      8,28      8,71      
DIRIT   27,05     26,52     26,25     25,72     25,45     24,92     24,65     26,00     
DITAS   56,67     54,16     52,80     50,29     48,93     46,42     45,06     47,90     
DMLKTG  6,15      6,13      6,10      6,08      6,05      6,03      6,00      6,10      
DMRGD   11,03     10,86     10,53     10,36     10,03     98,66     95,33     10,61     
DMSAS   8,82      8,75      8,64      8,57      8,46      8,39      8,28      9,39      
DNISI   24,48     23,89     23,26     22,67     22,04     21,45     20,82     22,80     
DOAS    209,00    206,60    201,80    199,40    194,60    192,20    187,40    197,30    
DOCO    11923,33  11811,67  11645,83  11534,17  11368,33  11256,67  11090,83  11607,50  
DOFER   34,23     34,06     33,73     33,56     33,23     33,06     32,73     33,74     
DOFRB   164,53    161,26    156,13    152,86    147,73    144,46    139,33    163,00    
DOGUB   10,02     97,20     93,15     90,10     86,05     83,00     78,95     90,00     
DOHOL   24,02     23,45     22,86     22,29     21,70     21,13     20,54     22,40     
DOKTA   28,88     28,05     27,30     26,47     25,72     24,89     24,14     25,84     
DSTKF   3036,66   2968,33   2919,16   2850,83   2801,66   2733,33   2684,16   3072,50   
DUNYH   118,80    117,30    114,40    112,90    110,00    108,50    105,60    112,00    
DURDO   5,96      5,78      5,64      5,46      5,32      5,14      5,00      5,27      
DURKN   22,84     22,07     21,04     20,27     19,24     18,47     17,44     20,74     
DYOBY   16,31     15,97     15,59     15,25     14,87     14,53     14,15     15,11     
DZGYO   9,07      8,95      8,70      8,58      8,33      8,21      7,96      8,55      
EBEBK   89,41     88,18     85,71     84,48     82,01     80,78     78,31     85,30     
ECILC   87,50     86,50     84,55     83,55     81,60     80,60     78,65     83,35     
ECOGR   39,24     38,70     38,20     37,66     37,16     36,62     36,12     38,30     
ECZYT   357,66    355,33    352,16    349,83    346,66    344,33    341,16    352,50    
EDATA   22,30     21,56     20,93     20,19     19,56     18,82     18,19     20,74     
EDIP    37,11     36,82     36,47     36,18     35,83     35,54     35,19     36,22     
EFOR    15,35     14,70     14,32     13,67     13,29     12,64     12,26     14,43     
EGEEN   5800,83   5759,16   5685,83   5644,16   5570,83   5529,16   5455,83   5702,50   
EGEGY   29,35     28,70     27,61     26,96     25,87     25,22     24,13     26,50     
EGEPO   20,04     19,62     19,03     18,61     18,02     17,60     17,01     19,03     
EGGUB   114,40    112,40    108,70    106,70    103,00    101,00    973,00    105,00    
EGPRO   43,34     42,46     40,78     39,90     38,22     37,34     35,66     39,14     
EGSER   3,34      3,29      3,24      3,19      3,14      3,09      3,04      3,21      
EKGYO   22,55     22,26     21,93     21,64     21,31     21,02     20,69     22,32     
EKIZ    84,16     83,33     81,66     80,83     79,16     78,33     76,66     81,95     
EKOS    7,63      7,54      7,37      7,28      7,11      7,02      6,85      7,25      
EKSUN   7,75      7,59      7,34      7,18      6,93      6,77      6,52      7,09      
ELITE   39,45     39,00     38,17     37,72     36,89     36,44     35,61     36,66     
EMKEL   22,47     22,12     21,49     21,14     20,51     20,16     19,53     20,60     
EMNIS   167,73    165,86    162,23    160,36    156,73    154,86    151,23    163,70    
EMPAE   112,50    112,50    112,50    112,50    112,50    112,50    112,50    117,80    
ENDAE   19,56     19,21     18,59     18,24     17,62     17,27     16,65     17,98     
ENERY   1,07      1,03      1,00      9,73      9,44      9,10      8,81      9,48      
ENJSA   112,10    111,10    109,20    108,20    106,30    105,30    103,40    110,60    
ENKAI   96,33     95,51     94,08     93,26     91,83     91,01     89,58     94,30     
ENSRI   9,81      9,30      9,05      8,54      8,29      7,78      7,53      7,92      
ENTRA   4,99      4,92      4,85      4,78      4,71      4,64      4,57      4,93      
EPLAS   6,77      6,60      6,27      6,10      5,77      5,60      5,27      5,85      
ERBOS   195,76    192,93    187,26    184,43    178,76    175,93    170,26    183,80    
ERCB    60,43     59,81     58,58     57,96     56,73     56,11     54,88     58,05     
EREGL   41,44     40,97     40,18     39,71     38,92     38,45     37,66     40,00     
ERSU    27,60     27,13     26,36     25,89     25,12     24,65     23,88     25,60     
ESCAR   52,64     51,02     49,78     48,16     46,92     45,30     44,06     49,42     
ESCOM   6,90      6,71      6,38      6,19      5,86      5,67      5,34      5,79      
ESEN    3,89      3,86      3,81      3,78      3,73      3,70      3,65      3,80      
ETILR   6,26      6,10      5,84      5,68      5,42      5,26      5,00      5,60      
ETYAT   13,05     12,77     12,56     12,28     12,07     11,79     11,58     12,50     
EUHOL   11,33     11,16     11,08     10,91     10,83     10,66     10,58     11,29     
EUKYO   10,84     10,64     10,38     10,18     99,23     97,26     94,63     10,25     
EUPWR   10,83     10,36     98,43     93,71     88,48     83,76     78,53     83,90     
EUREN   4,77      4,74      4,68      4,65      4,59      4,56      4,50      4,69      
EUYO    6,70      6,54      6,32      6,16      5,94      5,78      5,56      6,09      
EYGYO   2,60      2,56      2,51      2,47      2,42      2,38      2,33      2,54      
FADE    17,83     17,45     16,79     16,41     15,75     15,37     14,71     16,43     
FENER   3,42      3,38      3,32      3,28      3,22      3,18      3,12      3,29      
FLAP    13,81     13,65     13,33     13,17     12,85     12,69     12,37     13,40     
FMIZP   307,58    305,41    301,33    299,16    295,08    292,91    288,83    300,00    
FONET   5,89      5,70      5,48      5,29      5,07      4,88      4,66      5,50      
FORMT   2,30      2,28      2,24      2,22      2,18      2,16      2,12      2,22      
FORTE   93,13     92,46     91,13     90,46     89,13     88,46     87,13     91,70     
FRIGO   2,26      2,26      2,26      2,26      2,26      2,26      2,26      2,04      
FRMPL   49,98     48,05     45,16     43,23     40,34     38,41     35,52     40,98     
FROTO   94,38     93,21     91,38     90,21     88,38     87,21     85,38     91,85     
FZLGY   19,33     18,74     17,57     16,98     15,81     15,22     14,05     16,50     
GARAN   144,36    143,13    142,06    140,83    139,76    138,53    137,46    144,00    
GARFA   33,43     33,10     32,69     32,36     31,95     31,62     31,21     31,84     
GATEG   296,33    295,16    292,83    291,66    289,33    288,16    285,83    288,00    
GEDIK   7,59      7,42      7,13      6,96      6,67      6,50      6,21      6,63      
GEDZA   33,94     33,73     33,30     33,09     32,66     32,45     32,02     32,96     
GENIL   1,05      1,02      9,72      9,42      8,86      8,56      8,00      9,53      
GENKM   26,83     24,40     22,87     20,44     18,91     16,48     14,95     19,21     
GENTS   7,16      7,10      6,98      6,92      6,80      6,74      6,62      7,00      
GEREL   45,89     43,34     41,67     39,12     37,45     34,90     33,23     39,76     
GESAN   92,20     88,85     83,20     79,85     74,20     70,85     65,20     69,80     
GIPTA   72,03     71,31     70,13     69,41     68,23     67,51     66,33     73,10     
GLBMD   14,24     13,91     13,26     12,93     12,28     11,95     11,30     13,23     
GLCVY   67,33     65,16     62,78     60,61     58,23     56,06     53,68     59,90     
GLRMK   184,93    183,26    180,23    178,56    175,53    173,86    170,83    183,30    
GLRYH   3,34      3,31      3,26      3,23      3,18      3,15      3,10      3,28      
GLYHO   18,37     18,00     17,74     17,37     17,11     16,74     16,48     18,69     
GMTAS   47,12     45,80     43,64     42,32     40,16     38,84     36,68     45,62     
GOKNR   31,44     30,18     27,66     26,40     23,88     22,62     20,10     25,16     
GOLTS   338,41    336,08    332,91    330,58    327,41    325,08    321,91    331,50    
GOODY   18,19     17,69     17,34     16,84     16,49     15,99     15,64     18,66     
GOZDE   22,68     22,22     21,94     21,48     21,20     20,74     20,46     22,30     
GRNYO   19,12     18,91     18,75     18,54     18,38     18,17     18,01     18,98     
GRSEL   326,41    323,33    318,16    315,08    309,91    306,83    301,66    314,50    
GRTHO   289,03    270,76    261,63    243,36    234,23    215,96    206,83    252,50    
GSDDE   13,75     13,57     13,29     13,11     12,83     12,65     12,37     13,28     
GSDHO   6,35      6,22      6,03      5,90      5,71      5,58      5,39      5,85      
GSRAY   1,08      1,07      1,06      1,05      1,04      1,03      1,02      1,06      
GUBRF   551,83    540,66    523,33    512,16    494,83    483,66    466,33    515,50    
GUNDG   1453,33   1396,66   1368,33   1311,66   1283,33   1226,66   1198,33   1320,00   
GWIND   28,12     27,85     27,34     27,07     26,56     26,29     25,78     27,40     
GZNMI   76,26     74,63     72,46     70,83     68,66     67,03     64,86     68,35     
HALKB   55,41     53,80     51,15     49,54     46,89     45,28     42,63     49,10     
HATEK   16,44     16,28     15,97     15,81     15,50     15,34     15,03     15,97     
HATSN   68,46     65,03     63,31     59,88     58,16     54,73     53,01     61,05     
HDFGS   2,78      2,74      2,67      2,63      2,56      2,52      2,45      2,62      
HEDEF   130,26    127,13    125,56    122,43    120,86    117,73    116,16    127,00    
HEKTS   4,23      4,12      3,99      3,88      3,75      3,64      3,51      4,07      
HKTM    14,31     14,17     13,97     13,83     13,63     13,49     13,29     13,98     
HLGYO   6,61      6,52      6,47      6,38      6,33      6,24      6,19      6,50      
HOROZ   62,93     62,41     61,73     61,21     60,53     60,01     59,33     64,90     
HRKET   119,30    116,50    111,40    108,60    103,50    100,70    956,00    111,50    
HTTBT   42,60     42,30     41,72     41,42     40,84     40,54     39,96     41,40     
HUBVC   3,15      3,09      3,04      2,98      2,93      2,87      2,82      2,94      
HUNER   4,01      3,93      3,81      3,73      3,61      3,53      3,41      3,81      
HURGZ   7,36      7,27      7,13      7,04      6,90      6,81      6,67      7,16      
ICBCT   22,11     21,62     20,99     20,50     19,87     19,38     18,75     20,80     
ICUGS   6,06      5,85      5,55      5,34      5,04      4,83      4,53      5,37      
IDGYO   5,20      5,03      4,91      4,74      4,62      4,45      4,33      4,65      
IEYHO   133,76    131,93    130,36    128,53    126,96    125,13    123,56    129,80    
IHAAS   69,30     69,30     69,30     69,30     69,30     69,30     69,30     62,40     
IHEVA   2,14      2,12      2,10      2,08      2,06      2,04      2,02      2,09      
IHGZT   1,42      1,40      1,38      1,36      1,34      1,32      1,30      1,37      
IHLAS   1,31      1,28      1,24      1,21      1,17      1,14      1,10      1,23      
IHLGM   1,93      1,91      1,87      1,85      1,81      1,79      1,75      1,85      
IHYAY   1,78      1,75      1,71      1,68      1,64      1,61      1,57      1,69      
IMASM   3,17      3,15      3,11      3,09      3,05      3,03      2,99      3,13      
INDES   12,28     12,04     11,84     11,60     11,40     11,16     10,96     11,56     
INFO    4,96      4,70      4,57      4,31      4,18      3,92      3,79      4,88      
INGRM   430,00    426,00    418,00    414,00    406,00    402,00    394,00    413,25    
INTEK   242,33    241,66    241,33    240,66    240,33    239,66    239,33    247,00    
